product_id,cust_rating,comment,date
9901973,5,"Colour is not proper lavender but its good. The chain is very smooth. I like everything about this sweatshirt. And the inside is very soft. I am usually between M&L but this time i bought L, and it fits me very well. The color is the only cons for me, otherwise everything is perfect.",25 Dec 2020
9901973,4,The hoodie is good. I was expecting colour difference but I got the exact same colour. However the inside portion is the soft fluffy material that bubbles which is a minus point for the quality. I bought this in a sale so I think the price to quality comparison is justified. Overall I am happy with the purchase. It would need layering if you live somewhere where the temparature drops below 16 C.,24 Nov 2021
9901973,3,First of all it's not magenta pink it's like reddish n the chain is bright red which looks weird....overall good for dailywear or at home....n i usually wear M size bt i want a baggy fit so i ordered L size bt L size is so tight that i hv to order XL nd thats still ok in fit.......got it for low price dat's y keeping it ....otherwise nt more than 300 rupees thing....!,26 Dec 2021
9901973,4,This jacket is really soft and comfortable. It's warm too and ideal for light winters. The stitching is good quality but the fibres from the inner lining get stuck to your clothes. I think this might reduce with daily wear and washing. The hood has a nice cotton lining.,29 July 2022
9901973,5,"Colour and fitting is just awesome, Fabric is too good,light weighted You can wear it on jeans and suit as well.,it's Very comfortable. Ziper is so smooth.,you can open and close according to weather.",2 Aug 2024
12144158,5,"I had purchased this vibrant sweater from Myntra 2 years ago , and I absolutely love it! The colors are bold and eye-catching, making it perfect for brightening up any winter outfit. The material feels soft and cozy, ensuring warmth during chilly days without feeling too bulky. I also appreciate the fit—it’s snug in all the right places but still allows enough room for layering. After a couple of washes, the colors haven't faded, which speaks to the quality. Overall, a fun, stylish addition to my winter wardrobe!",13 Sept 2024
12144158,4,Great purchase lovely product. Reasonable price beautiful color 😍..i love it ..,7 June 2024
12144158,5,This is such a cute sweater. The fabric is super comfortable and warm. This multi-colour pullover is a must-buy.,26 Nov 2023
12144158,5,Awesome piece..vibrant colors. I just loved it..❤️❤️❤️,28 Jan 2023
30643116,5,Veryyytt goood,14 Dec 2024
30643116,5,Awesome 👍🏻,14 Nov 2024
30643116,4,The sweater is nice however sizing runs a bit small so better to buy a size bigger than your usual size.,5 Oct 2024
30643116,5,"Great value for money! Amazing fit, good material. May not protect from cold too much. It’s a thin sweater.",14 Dec 2024
30643116,5,"Very nice. You can buy it. It fits perfectly,looks beautiful",26 Nov 2024
23718528,5,Really very very nice 👌🏻,15 Oct 2024
31395697,3,Not that good I had aspected good quality but just like summer sweater...,13 Dec 2024
31395697,3,The fabric is very thin,
19798116,5,,
19798116,4,,
19798116,5,,
19798116,5,,
19798116,5,,
16222450,5,,
16222450,5,,
16222450,5,,
16222450,4,,
16222450,5,,
30154784,5,,
30154784,5,,
30154784,5,,
30154784,3,,
30154784,3,,
27373656,2,,
27373656,5,,
27373656,5,,
27373656,5,,
23091696,5,,
23091696,5,,
23091696,4,,
23091696,5,,
23091696,4,,
26235078,5,,
26235078,4,,
26235078,5,,
26235078,4,,
26235078,5,,
15838480,5,,
15838480,2,,
15838480,1,,
15838480,4,,
15838480,5,,
28006014,4,,
28006014,4,,
28006014,5,,
28006014,5,,
28006014,5,,
28981332,5,,
28981332,5,,
28981332,5,,
28981332,5,,
28981332,5,,
28006020,5,,
28006020,5,,
28006020,4,,
28006020,5,,
28006020,4,,
27346828,5,,
27346828,5,,
27346828,5,,
27346828,5,,
27346828,5,,
22425490,5,,
22425490,5,,
22425490,5,,
22425490,5,,
22425490,5,,
28886594,5,,
28886594,3,,
28886594,5,,
28886594,4,,
28886594,5,,
9967203,5,,
9967203,5,,
9967203,5,,
9967203,5,,
9967203,4,,
30249705,5,,
30249705,5,,
30249705,3,,
30249705,5,,
14980776,5,,
14980776,4,,
14980776,5,,
14980776,4,,
14980776,4,,
16807246,5,,
16807246,5,,
16807246,4,,
16807246,5,,
16807246,5,,
30867871,5,,
30867871,5,,
